Date,Amount,Account Number,,Transaction Type,Transaction Details,Balance,Category,Merchant Name,Processed On
27 Feb 26,-2015.33,726422624,,INTEREST CHARGED,INTEREST CHARGED,-466678.13,Loans,,27 Feb 26
25 Feb 26,1400.00,726422624,,TRANSFER CREDIT,ONLINE G7160622837 Loan Repayment MIFSUD R,-464662.80,Internal transfers,,25 Feb 26
16 Feb 26,0.00,726422624,,MISCELLANEOUS CREDIT,PLEASE NOTE FROM 13 FEB 2026 YOUR DEBIT INT RATE IS 5.79%,-466062.80,Fees,,16 Feb 26
11 Feb 26,1400.00,726422624,,TRANSFER CREDIT,ONLINE Z8787688775 Loan Repayment MIFSUD R,-466062.80,Internal transfers,,11 Feb 26
30 Jan 26,-2107.18,726422624,,INTEREST CHARGED,INTEREST CHARGED,-467462.80,Loans,,30 Jan 26
28 Jan 26,0.00,726422624,,MISCELLANEOUS CREDIT,PLEASE NOTE YOUR CURRENT DEBIT INTEREST RATE IS 5.54%,-465355.62,Fees,,28 Jan 26
28 Jan 26,1400.00,726422624,,TRANSFER CREDIT,ONLINE E9913617677 Loan Repayment MIFSUD R,-465355.62,Internal transfers,,28 Jan 26
14 Jan 26,1400.00,726422624,,TRANSFER CREDIT,ONLINE P0975358398 Loan Repayment MIFSUD R,-466755.62,Internal transfers,,14 Jan 26
31 Dec 25,1400.00,726422624,,TRANSFER CREDIT,ONLINE E2046849048 Loan Repayment MIFSUD R,-468155.62,Internal transfers,,31 Dec 25
31 Dec 25,-2332.63,726422624,,INTEREST CHARGED,INTEREST CHARGED,-469555.62,Loans,,31 Dec 25
17 Dec 25,1400.00,726422624,,TRANSFER CREDIT,ONLINE B3513612978 Loan Repayment MIFSUD R,-467222.99,Internal transfers,,17 Dec 25
03 Dec 25,1400.00,726422624,,TRANSFER CREDIT,ONLINE E6599764467 Loan Repayment MIFSUD R,-468622.99,Internal transfers,,03 Dec 25
28 Nov 25,-1967.80,726422624,,INTEREST CHARGED,INTEREST CHARGED,-470022.99,Loans,,28 Nov 25
19 Nov 25,1400.00,726422624,,TRANSFER CREDIT,ONLINE Q7568592700 Loan Repayment MIFSUD R,-468055.19,Internal transfers,,19 Nov 25
05 Nov 25,1400.00,726422624,,TRANSFER CREDIT,ONLINE N7497164999 Loan Repayment MIFSUD R,-469455.19,Internal transfers,,05 Nov 25
31 Oct 25,-2190.44,726422624,,INTEREST CHARGED,INTEREST CHARGED,-470855.19,Loans,,31 Oct 25
22 Oct 25,1400.00,726422624,,TRANSFER CREDIT,ONLINE R0297542987 Loan Repayment MIFSUD R,-468664.75,Internal transfers,,22 Oct 25
08 Oct 25,1400.00,726422624,,TRANSFER CREDIT,ONLINE G6229704410 Loan Repayment MIFSUD R,-470064.75,Internal transfers,,08 Oct 25
30 Sep 25,-2269.27,726422624,,INTEREST CHARGED,INTEREST CHARGED,-471464.75,Loans,,30 Sep 25
24 Sep 25,1400.00,726422624,,TRANSFER CREDIT,ONLINE S3096717087 Loan Repayment MIFSUD R,-469195.48,Internal transfers,,24 Sep 25
10 Sep 25,1400.00,726422624,,TRANSFER CREDIT,ONLINE N5108512571 Loan Repayment MIFSUD R,-470595.48,Internal transfers,,10 Sep 25
29 Aug 25,-2144.89,726422624,,INTEREST CHARGED,INTEREST CHARGED,-471995.48,Loans,,29 Aug 25
27 Aug 25,1400.00,726422624,,TRANSFER CREDIT,ONLINE E3708774914 Loan Repayment MIFSUD R,-469850.59,Internal transfers,,27 Aug 25
26 Aug 25,0.00,726422624,,MISCELLANEOUS CREDIT,PLEASE NOTE FROM 25 AUG 2025 YOUR DEBIT INT RATE IS 5.54%,-471250.59,Fees,,26 Aug 25
13 Aug 25,1400.00,726422624,,TRANSFER CREDIT,ONLINE A7483482137 Loan Repayment MIFSUD R,-471250.59,Internal transfers,,13 Aug 25
31 Jul 25,-2309.15,726422624,,INTEREST CHARGED,INTEREST CHARGED,-472650.59,Loans,,31 Jul 25
30 Jul 25,1400.00,726422624,,TRANSFER CREDIT,ONLINE C6686174312 Loan Repayment MIFSUD R,-470341.44,Internal transfers,,30 Jul 25
28 Jul 25,0.00,726422624,,MISCELLANEOUS CREDIT,PLEASE NOTE YOUR CURRENT DEBIT INTEREST RATE IS 5.79%,-471741.44,Fees,,28 Jul 25
16 Jul 25,1400.00,726422624,,TRANSFER CREDIT,ONLINE R7183380421 Loan Repayment MIFSUD R,-471741.44,Internal transfers,,16 Jul 25
02 Jul 25,-12511.06,726422624,,MISCELLANEOUS DEBIT,LOAN REDRAW TO 083054 240400628,-473141.44,Mortgage & rent,,02 Jul 25
02 Jul 25,1400.00,726422624,,TRANSFER CREDIT,ONLINE A5976797985 Loan Repayment MIFSUD R,-460630.38,Internal transfers,,02 Jul 25
