Date,Amount,Account Number,,Transaction Type,Transaction Details,Balance,Category,Merchant Name,Processed On
27 Feb 26,-809.16,726415723,,INTEREST CHARGED,INTEREST CHARGED,-178076.10,Loans,,27 Feb 26
25 Feb 26,650.00,726415723,,TRANSFER CREDIT,ONLINE A1752379892 Invest Loan Repay MIFSUD R,-177266.94,Internal transfers,,25 Feb 26
23 Feb 26,10000.00,726415723,,TRANSFER CREDIT,ONLINE M9673201518 Linked Acc Trns MIFSUD*MONCR,-177916.94,Internal transfers,,23 Feb 26
16 Feb 26,0.00,726415723,,MISCELLANEOUS CREDIT,PLEASE NOTE FROM 13 FEB 2026 YOUR DEBIT INT RATE IS 6.28%,-187916.94,Fees,,16 Feb 26
11 Feb 26,650.00,726415723,,TRANSFER CREDIT,ONLINE C7052068306 Invest Loan Repay MIFSUD R,-187916.94,Internal transfers,,11 Feb 26
30 Jan 26,-865.90,726415723,,INTEREST CHARGED,INTEREST CHARGED,-188566.94,Loans,,30 Jan 26
28 Jan 26,0.00,726415723,,MISCELLANEOUS CREDIT,PLEASE NOTE YOUR CURRENT DEBIT INTEREST RATE IS 6.03%,-187701.04,Fees,,28 Jan 26
28 Jan 26,650.00,726415723,,TRANSFER CREDIT,ONLINE S9150308643 Invest Loan Repay MIFSUD R,-187701.04,Internal transfers,,28 Jan 26
14 Jan 26,650.00,726415723,,TRANSFER CREDIT,ONLINE N0946607397 Invest Loan Repay MIFSUD R,-188351.04,Internal transfers,,14 Jan 26
31 Dec 25,650.00,726415723,,TRANSFER CREDIT,ONLINE S2211201049 Invest Loan Repay MIFSUD R,-189001.04,Internal transfers,,31 Dec 25
31 Dec 25,-973.88,726415723,,INTEREST CHARGED,INTEREST CHARGED,-189651.04,Loans,,31 Dec 25
17 Dec 25,650.00,726415723,,TRANSFER CREDIT,ONLINE Y5246136227 Invest Loan Repay MIFSUD R,-188677.16,Internal transfers,,17 Dec 25
04 Dec 25,0.00,726415723,,MISCELLANEOUS CREDIT,PLEASE NOTE FROM 03 DEC 2025 YOUR DEBIT INT RATE IS 6.03%,-189327.16,Fees,,04 Dec 25
03 Dec 25,650.00,726415723,,TRANSFER CREDIT,ONLINE H9471152750 Invest Loan Repay MIFSUD R,-189327.16,Internal transfers,,03 Dec 25
28 Nov 25,-844.56,726415723,,INTEREST CHARGED,INTEREST CHARGED,-189977.16,Loans,,28 Nov 25
19 Nov 25,650.00,726415723,,TRANSFER CREDIT,ONLINE G2240562560 Invest Loan Repay MIFSUD R,-189132.60,Internal transfers,,19 Nov 25
05 Nov 25,650.00,726415723,,TRANSFER CREDIT,ONLINE S7271402809 Invest Loan Repay MIFSUD R,-189782.60,Internal transfers,,05 Nov 25
31 Oct 25,-953.72,726415723,,INTEREST CHARGED,INTEREST CHARGED,-190432.60,Loans,,31 Oct 25
22 Oct 25,650.00,726415723,,TRANSFER CREDIT,ONLINE Z1299142792 Invest Loan Repay MIFSUD R,-189478.88,Internal transfers,,22 Oct 25
08 Oct 25,650.00,726415723,,TRANSFER CREDIT,ONLINE Y4208023326 Invest Loan Repay MIFSUD R,-190128.88,Internal transfers,,08 Oct 25
30 Sep 25,-1004.21,726415723,,INTEREST CHARGED,INTEREST CHARGED,-190778.88,Loans,,30 Sep 25
24 Sep 25,650.00,726415723,,TRANSFER CREDIT,ONLINE M4167102192 Invest Loan Repay MIFSUD R,-189774.67,Internal transfers,,24 Sep 25
10 Sep 25,650.00,726415723,,TRANSFER CREDIT,ONLINE E5343053553 Invest Loan Repay MIFSUD R,-190424.67,Internal transfers,,10 Sep 25
29 Aug 25,-946.83,726415723,,INTEREST CHARGED,INTEREST CHARGED,-191074.67,Loans,,29 Aug 25
27 Aug 25,650.00,726415723,,TRANSFER CREDIT,ONLINE N3705340756 Invest Loan Repay MIFSUD R,-190127.84,Internal transfers,,27 Aug 25
26 Aug 25,0.00,726415723,,MISCELLANEOUS CREDIT,PLEASE NOTE FROM 25 AUG 2025 YOUR DEBIT INT RATE IS 6.05%,-190777.84,Fees,,26 Aug 25
13 Aug 25,650.00,726415723,,TRANSFER CREDIT,ONLINE D4893023079 Invest Loan Repay MIFSUD R,-190777.84,Internal transfers,,13 Aug 25
31 Jul 25,-1018.85,726415723,,INTEREST CHARGED,INTEREST CHARGED,-191427.84,Loans,,31 Jul 25
30 Jul 25,650.00,726415723,,TRANSFER CREDIT,ONLINE L0612083302 Invest Loan Repay MIFSUD R,-190408.99,Internal transfers,,30 Jul 25
28 Jul 25,0.00,726415723,,MISCELLANEOUS CREDIT,PLEASE NOTE YOUR CURRENT DEBIT INTEREST RATE IS 6.30%,-191058.99,Fees,,28 Jul 25
16 Jul 25,650.00,726415723,,TRANSFER CREDIT,ONLINE N6123696967 Invest Loan Repay MIFSUD R,-191058.99,Internal transfers,,16 Jul 25
02 Jul 25,650.00,726415723,,TRANSFER CREDIT,ONLINE M8876162783 Invest Loan Repay MIFSUD R,-191708.99,Internal transfers,,02 Jul 25
